y,x,swe,cell_id
38.23456049943262,-119.93363483662397,-9999.0,37_cell_-119.93413483662393_38.23401501394914
38.23456049943262,-119.93263483662396,-9999.0,37_cell_-119.93323652133982_38.23401501394914
38.23456049943262,-119.93163483662394,-9999.0,37_cell_-119.9323382060557_38.23401501394914
38.23456049943262,-119.93063483662397,-9999.0,37_cell_-119.93143989077157_38.23401501394914
38.23456049943262,-119.92963483662396,-9999.0,37_cell_-119.92964326020332_38.23401501394914
38.23456049943262,-119.92863483662394,-9999.0,37_cell_-119.92874494491923_38.23401501394914
38.23456049943262,-119.92763483662397,-9999.0,37_cell_-119.9278466296351_38.23401501394914
38.23456049943262,-119.92663483662396,-9999.0,37_cell_-119.92694831435098_38.23401501394914
38.23456049943262,-119.92563483662394,-9999.0,37_cell_-119.92604999906685_38.23401501394914
38.23456049943262,-119.92463483662397,-9999.0,37_cell_-119.92515168378276_38.23401501394914
38.23456049943262,-119.92363483662396,-9999.0,37_cell_-119.92425336849863_38.23401501394914
38.23456049943262,-119.92263483662394,-9999.0,37_cell_-119.92335505321451_38.23401501394914
38.23456049943262,-119.92163483662397,-9999.0,37_cell_-119.92245673793037_38.23401501394914
38.23456049943262,-119.92063483662396,-9999.0,37_cell_-119.92066010736215_38.23401501394914
38.23456049943262,-119.91963483662394,-9999.0,37_cell_-119.91976179207803_38.23401501394914
38.23456049943262,-119.91863483662397,-9999.0,37_cell_-119.9188634767939_38.23401501394914
38.23456049943262,-119.91763483662396,-9999.0,37_cell_-119.91796516150978_38.23401501394914
38.23456049943262,-119.91663483662394,-9999.0,37_cell_-119.91706684622565_38.23401501394914
38.23456049943262,-119.91563483662397,-9999.0,37_cell_-119.91616853094155_38.23401501394914
38.23456049943262,-119.91463483662396,-9999.0,37_cell_-119.91527021565743_38.23401501394914
38.23456049943262,-119.91363483662394,-9999.0,37_cell_-119.91437190037331_38.23401501394914
38.23456049943262,-119.91263483662397,-9999.0,37_cell_-119.91347358508918_38.23401501394914
38.23456049943262,-119.91163483662396,-9999.0,37_cell_-119.91167695452096_38.23401501394914
38.23456049943262,-119.91063483662394,-9999.0,37_cell_-119.91077863923682_38.23401501394914
38.23456049943262,-119.90963483662397,-9999.0,37_cell_-119.9098803239527_38.23401501394914
38.23456049943262,-119.90863483662396,-9999.0,37_cell_-119.90898200866859_38.23401501394914
38.23456049943262,-119.90763483662394,-9999.0,37_cell_-119.90808369338446_38.23401501394914
38.23456049943262,-119.90663483662397,-9999.0,37_cell_-119.90718537810035_38.23401501394914
38.23456049943262,-119.90563483662396,-9999.0,37_cell_-119.90628706281623_38.23401501394914
38.23456049943262,-119.90463483662394,-9999.0,37_cell_-119.9053887475321_38.23401501394914
38.23456049943262,-119.90363483662397,-9999.0,37_cell_-119.90449043224798_38.23401501394914
38.23456049943262,-119.90263483662396,-9999.0,37_cell_-119.90269380167976_38.23401501394914
38.23456049943262,-119.90163483662394,-9999.0,37_cell_-119.90179548639563_38.23401501394914
38.23456049943262,-119.90063483662396,-9999.0,37_cell_-119.90089717111151_38.23401501394914
38.23456049943262,-119.89963483662396,-9999.0,37_cell_-119.89999885582738_38.23401501394914
38.23456049943262,-119.89863483662394,-9999.0,37_cell_-119.89910054054329_38.23401501394914
38.23456049943262,-119.89763483662396,-9999.0,37_cell_-119.89820222525915_38.23401501394914
38.23456049943262,-119.89663483662396,-9999.0,37_cell_-119.89730390997504_38.23401501394914
38.23456049943262,-119.89563483662394,-9999.0,37_cell_-119.8964055946909_38.23401501394914
38.23456049943262,-119.89463483662396,-9999.0,37_cell_-119.89550727940679_38.23401501394914
38.23456049943262,-119.89363483662396,-9999.0,37_cell_-119.89371064883856_38.23401501394914
38.23456049943262,-119.89263483662394,-9999.0,37_cell_-119.89281233355443_38.23401501394914
38.23456049943262,-119.89163483662396,-9999.0,37_cell_-119.89191401827031_38.23401501394914
38.23456049943262,-119.89063483662396,-9999.0,37_cell_-119.89101570298618_38.23401501394914
38.23456049943262,-119.88963483662394,-9999.0,37_cell_-119.89011738770209_38.23401501394914
38.23456049943262,-119.88863483662396,-9999.0,37_cell_-119.88921907241796_38.23401501394914
38.23456049943262,-119.88763483662396,-9999.0,37_cell_-119.88832075713384_38.23401501394914
38.23456049943262,-119.88663483662394,-9999.0,37_cell_-119.88742244184971_38.23401501394914
38.23456049943262,-119.88563483662396,-9999.0,37_cell_-119.88652412656559_38.23401501394914
38.23456049943262,-119.88463483662396,-9999.0,37_cell_-119.88472749599737_38.23401501394914
38.23456049943262,-119.88363483662394,-9999.0,37_cell_-119.88382918071324_38.23401501394914
38.23456049943262,-119.88263483662396,-9999.0,37_cell_-119.88293086542912_38.23401501394914
